smiles,vina_score
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,-7.8
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.4
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,-7.8
Nc1ccc2c(Nc3cccc(c3)C(F)(F)F)ncnc2c1,-8.2
[O-][N+](=O)c1ccc2c(Nc3ccccc3)ncnc2c1,-8.5
[O-][N+](=O)c1ccc2c(Nc3cccc(F)c3)ncnc2c1,-8.4
[O-][N+](=O)c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,-8.2
[O-][N+](=O)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.7
[O-][N+](=O)c1ccc2c(Nc3cccc(I)c3)ncnc2c1,-8.0
[O-][N+](=O)c1ccc2c(Nc3cccc(c3)C(F)(F)F)ncnc2c1,-7.9
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,-6.9
COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,-8.0
COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)Cl,-6.9
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,-7.4
COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC,-7.7
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.9
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.0
COC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.8
Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-8.6
CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.9
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.8
CCNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-8.2
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.7
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,-7.8
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,-7.9
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,-7.9
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,-7.9
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,-7.9
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+]([O-])=O,-8.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+]([O-])=O,-7.3
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+]([O-])=O,-8.5
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+]([O-])=O,-7.9
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+]([O-])=O,-8.1
[O-][N+](=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,-8.3
Brc1cccc(Nc2ncnc3cc4OCOc4cc23)c1,-7.7
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,-7.5
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,-6.5
CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,-6.7
CCCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCC,-7.7
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1OC,-7.3
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1OC,-6.7
COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,-7.3
COc1cc2nc(N)nc(Nc3cccc(Br)c3)c2cc1OC,-7.9
COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC,-7.7
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,-7.2
COc1cc2c(Nc3cccc(Br)c3)ncnc2c(OC)c1OC,-7.6
COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC,-7.2
COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,-7.8
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,-7.2
COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC,-8.4
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,-8.6
Cc1nc2cc3ncnc(Nc4cccc(Br)c4)c3cc2[nH]1,-8.7
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-5.9
CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,-7.8
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.0
CN(C)CCn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.3
CN(C)CCn1cnc2c(Cl)c3c(Nc4cccc(Br)c4)ncnc3cc12,-8.3
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,-8.0
Brc1cccc(Nc2ncnc3c4nc[nH]c4ccc23)c1,-8.4
Brc1cccc(Nc2ncnc3cc4nn[nH]c4cc23)c1,-8.4
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,-8.4
Brc1cccc(Nc2ncnc3cc4cn[nH]c4cc23)c1,-8.5
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,-8.7
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,-8.4
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,-9.4
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,-8.6
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,-7.6
C(Nc1ncnc2ccncc12)c1ccccc1,-7.5
Nc1cc2ncnc(NCc3ccccc3)c2cn1,-8.0
CC(=O)Nc1cc2ncnc(NCc3ccccc3)c2cn1,-7.9
Brc1cccc(Nc2ncnc3ccncc23)c1,-7.6
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.8
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.6
Fc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.8
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.9
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.1
COc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.7
CNc1cc2ncn(C)\c(=N/c3cccc(Br)c3)c2cn1,-7.4
C(Nc1ncnc2cnccc12)c1ccccc1,-7.6
Brc1cccc(Nc2ncnc3cnccc23)c1,-7.5
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.5
Clc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.6
Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.4
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.7
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.5
COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,-7.6
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,-7.6
CNc1cc2c(Nc3ccccc3)ncnc2cn1,-7.3
C(Nc1ncnc2ncccc12)c1ccccc1,-7.5
Brc1cccc(Nc2ncnc3ncccc23)c1,-7.7
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,-7.4
Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,-7.9
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,-8.0
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,-7.8
COc1ccc2c(Nc3cccc(Br)c3)ncnc2n1,-7.4
C(Nc1ncnc2cccnc12)c1ccccc1,-7.7
Brc1cccc(Nc2ncnc3cccnc23)c1,-6.8
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-7.7
Clc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-7.1
Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-7.5
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-7.6
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-7.5
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,-8.5
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,-8.9
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.5
OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-7.5
CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,-8.5
Brc1cccc(Nc2ncnc3cc4n(CCN5CCOCC5)ncc4cc23)c1,-8.6
