Ligand SMILES,Affinity_nM
C(Cc1ccccc1)Nc1ccnc2oc3ccccc3c12, 3450
C(Nc1ccnc2oc3ccccc3c12)c1ccccc1, 590
CCCc1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
COCc1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
OCCCc1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
C1CC1c1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
C1CCC(C1)c1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
C(C1CCCCC1)c1cn(nn1)-c1ccc2[nH]ncc2c1,>1800
C(c1cn(nn1)-c1ccc2[nH]ncc2c1)c1ccccc1,>1800
C(Cc1cn(nn1)-c1ccc2[nH]ncc2c1)Cc1ccccc1,>1800
C(c1ccccc1)n1cc(nn1)-c1ccc2[nH]ncc2c1,>1800
Nc1n[nH]c2ccc(cc12)-c1cn(Cc2ccccc2)nn1,>1800
C(c1cc(on1)-c1ccc2[nH]ncc2c1)c1ccccc1,>1800
CCCc1cc(on1)-c1ccc2[nH]ncc2c1,>1800
